name,score
Predator SSD GM7000HS 4TB,54749
Addlink G55H 1TB SSD,54540
KingSpec VP 1TB SSD,54471
WD BLACK SN8100,54383
Seagate ZP2000GM30073,54106
XG10d SED KIOXIA 1024GB,54104
WD BLACK SN850P for PS5 8000GB,53992
WD PC SN8000S SDEQNRK-1T00-1002,53909
PC SN8000S SED SanDisk 2048GB,53785
KINGSTON OM8PDP3 2TB SSD,53620
NVMe WD PC SN8000S SDEQNRG-2T00-1002,53564
KIOXIA-EXCERIA BASIC SSD,53460
Corsair MP700 1TB,53378
IRP-SSDPR-P44A-2K0-80,53180
WD BLACK SN850X HS 8000GB,53039
SUNEAST Gen4 G70 2TB,52868
XG10d SED KIOXIA 4096GB,52777
SAMSUNG MZVLC512HFJD-00B07,52755
ADATA LEGEND 970 1TB SSD,52751
WD Blue SN5100 2TB,52717
Seagate FireCuda 540 1TB SSD,52661
Intel Optane DC P5800X 400GB,52507
WD PC SN8000S SDEQNRK-1T00-1001,52366
TEAM T-Force G70 Pro 2TB SSD,52360
TEAM T-FORCE G70 PRO 4TB SSD,52296
ADATA XPG GAMMIX S70 Blade 4TB SSD,52206
GIGABYTE AG514K4TB,52122
TEAM T-FORCE CARDEA A440 PRO 4TB SSD,52085
WAVLINK RapidFire880 -2T,52041
TEAM T-FORCE GC PRO 4TB,52035
NVMe WD BLACK SN7100 1TB,52003
PC SN7100S SanDisk 1024GB,51936
XPG GAMMIX S70 PRO 2TB,51923
Corsair MP600 PRO NH,51860
KLEVV CRAS C925 1TB SSD,51789
Sabrent Rocket 4 Plus Gaming 4TB SSD,51751
WD BLACK SN7100 2TB,51658
PSEMN01TA87NC0,51615
NVMe PC SN8000S SED SanDisk 1024GB,51522
BIWIN NV7400 4TB,51505
WD PC SN8000S SDEQNRG-2T00-1002,51490
WD BLACK SN850X 2000GB,51478
MasonSemi SSD,51455
Gloway AN4 Plus 1TB SSD,51414
Ardor gaming m.2 NVME 2048Gb ALG412816,51395
MSI M570 1TB,51389
WD BLACK SN850X 4TB,51385
Kingston FURY Renegade 4TB SSD,51343
Verbatim Vi7000 4TB SSD,51297
SAMSUNG MZVLC4T0HBL1-00BLL,51283
PHISON BICS6 2TB SSD,51278
PHISON BICS5 2TB SSD,51213
Sabrent Rocket 4 Plus Gaming 2TB SSD,51200
PM9F1 SED Samsung 2048GB,51151
HS-SSD-FUTURE 4096G,51139
Samsung 990 Pro PM9F1 4TB SSD,51119
Corsair MP700 ELITE 1TB with Heatsink,51006
MSI M480 PRO 4TB,50966
KINGSTON KC3000 4TB,50872
Seagate FireCuda 530 2TB SSD,50751
NVMe WD BLACK SN8100 2000GB,50746
GXF-1TB-2280-PRO,50741
NVMe BIWIN X570 PRO 1TB,50740
Seagate FireCuda 530R 1TB SSD with Heatsink,50678
MTFDKBA2T0TGD-1BK1AABGA,50676
Gigabyte AORUS 7300 2TB SSD,50556
PC SN8000S SED SanDisk 4096GB,50548
Intel Optane P5801X 400GB,50530
WD BLACK SN850X HS 2000GB,50516
WD BLACK SN850X 8000GB,50491
XPG GAMMIX S70 BLADE 4TB,50456
WD PC SN8000S SDEQNRG-2T00-1001,50414
GIGABYTE AG470E1TB,50409
imation M.2 PCIe 1TB SSD Z981,50315
WD BLACK SN850X HS 4000GB,50300
PS5018-E18-2T BiCS5 2p,50250
Western Digital SN8000S 1TB SSD,50224
PHISON ESR02TBTLCZ,50190
NVMe PM9F1 SED Samsung 1024GB,50170
PC SN8000S SDEPNRG-2T00-1006,50140
Nextorage SSD NEM-PA2TB,50104
WD BLACK SN850P for PS5 2000GB,50104
HP FX900 Plus 2TB SSD,50051
HP SSD FX900 Plus 1TB SSD,50013
TLET TLD-M7A 1TB SSD,49861
Corsair MP600 PRO,49815
Predator SSD GM7000HS 2TB,49724
GXF-S-1TB PRO 2280,49716
NVMe PC811 SED SK hynix 512GB,49707
Samsung 990 Pro PM9F1 2TB SSD,49682
Seagate FireCuda 530 2TB,49672
Acer Predator GM7000 2TB SSD,49642
Corsair MP600 PRO LPX,49632
Seagate Firecuda Lightsaber 2TB,49607
Lexar NM800 PRO 2TB SSD,49546
Samsung 990 PRO PM9F1 with Heatsink 4TB SSD,49528
PC SN8000S SED SanDisk 1024GB,49523
PHISON ESR02TBYCCA4-EDJ-2,49443
Western Digital SN8000S 512GB SSD,49439
SK Hynix PC811 2TB SSD,49430
Western Digital SN8000S 2TB SSD,49404
MSI M480 PRO 2TB,49391
Western Digital BLACK SN850X 8TB,49385
T450-1TB,49372
Metabox Ultra 2TB SSD,49361
AOKZOE A1 2TB SSD,49358
KINGSTON FURY Renegade 2TB SSD,49314
Neo Forza NFP400 Series 2TB SSD,49307
KINGSTON SFYRDY2000G,49300
E31-2TB-PHISON-SSD-BICS8,49278
Redragon RM520 2TB,49248
Gigabyte AORUS 12000 1TB,49232
Fantom VENOM8 4TB SSD,49203
BROADCOM MR9560-8i,49153
KINGSTON KC3000 2TB,49141
SK Hynix PC801 2TB SSD,49097
HS-SSD-C4000 2048G,49029
YSSDLB-2TN7000,48969
Predator SSD GM6 4TB,48951
EDILOCA EN855 2TB SSD,48944
NVMe PC SN8000S SED SanDisk 512GB,48925
Vi7000G Internal PCIe M.2 SSD,48885
Lexar SSD EQ790 4TB,48790
TEAM MP44 4TB SSD,48789
MTFDKBA2T0QGN-1BN1AABGA,48778
Samsung SSD 990,48712
Sabrent Rocket 4 Plus Gaming 1TB SSD,48668
Apacer AS2280Q4U 2TB SSD,48556
KODAK SSD X410 2000GB,48549
HP SSD FX900 Pro 4TB,48540
Corsair MP600 PRO XT,48533
Samsung 990 Pro PM9F1 1TB SSD,48517
Teracle T450 2TB SSD,48516
Micron MTFDKBA1T0TGD-1BK1AABLA,48515
WD BLACK SN7100 4TB,48507
Transcend TS2TMTE720T,48504
Western Digital SN820 4TB SSD,48496
HP SSD FX900 Pro 1TB,48492
EDILOCA EN855 4TB,48464
Predator SSD GM7000 4TB,48462
E18-1TB-PHISON-SSD-BICS5,48434
APSFG-2T-CSUS,48410
Seagate FireCuda 530 1TB SSD,48405
Lexar NM790 2TB SSD,48375
PM9F1 SED Samsung 1024GB,48368
Samsung 990 PRO PM9F1 with Heatsink 1TB SSD,48298
PNY CS3140 4TB SSD,48288
NVMe PC811 SED SK hynix 1024GB,48250
BIWIN SSD LN960 2TB,48226
MasonSemi RC7000 2TB,48195
YMTC YMSS2CB08D25MC,48193
MSI M482 2TB,48189
PNY CS3150 2TB SSD,48149
MTFDKBK1T0QGN-1BN1AABGA,48128
Seagate Game Drive PS5 2TB SSD,47918
AORUS Gen4 7300 SSD 1TB,47907
PC SN8000S SDEPNRK-1T00-1006,47857
YMTC PC411-1TB-D,47834
Lexar NM790 4TB SSD,47826
ONE XPLAYER Q3,47820
Fanxiang S770 4TB,47789
Predator SSD GM7000 2TB,47787
T-CREATE TM8FFC002T,47776
DIGMA Meta P7 1TB SSD,47740
Western Digital SN850 1TB SSD,47714
